F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
24,27,2118,1,0,1081,3,73,0.7078125,855,210,0.24561403508771928,1.0,10,1,
24,27,2118,1,11,1081,3,73,0.69296875,855,210,0.24561403508771928,0.6003401360544217,10,1,
22,305,2118,5,8,1081,4,73,0.913626209977662,3739,1662,0.44450387804225727,0.5,0,1,
3,305,2118,5,8,1081,1,73,0.4833953834698436,3739,1662,0.44450387804225727,0.6666666666666666,0,1,
3,305,2118,5,8,1081,1,73,0.4869694713328369,3739,1662,0.44450387804225727,0.6666666666666666,0,1,
3,305,2118,5,8,1081,1,73,0.16976917349218168,3739,1662,0.44450387804225727,0.6666666666666666,0,1,
3,305,2118,5,8,1081,2,73,0.1734921816827997,3739,1662,0.44450387804225727,0.6666666666666666,0,1,
3,305,2118,5,8,1081,1,73,0.9516008935219658,3739,1662,0.44450387804225727,0.6666666666666666,0,1,
6,305,2118,5,8,1081,4,73,0.9350707371556217,3739,1662,0.44450387804225727,0.8333333333333334,0,1,
3,305,2118,5,8,1081,1,73,0.17066269545793,3739,1662,0.44450387804225727,0.6666666666666666,0,1,
3,305,2118,5,8,1081,2,73,0.17542814594192108,3739,1662,0.44450387804225727,0.6666666666666666,0,1,
3,305,2118,5,8,1081,1,73,0.9521965748324647,3739,1662,0.44450387804225727,0.6666666666666666,0,1,
0,305,2118,5,8,1081,1,73,0.8500372300819061,3739,1662,0.44450387804225727,1.0,0,1,
3,305,2118,5,8,1081,1,73,0.0727475800446761,3739,1662,0.44450387804225727,0.6666666666666666,0,0,
5,305,2118,5,6,1081,1,73,0.12099776619508563,3739,1662,0.44450387804225727,0.6666666666666667,0,0,
52,305,2118,5,0,1081,14,73,0.8982874162323157,3739,1662,0.44450387804225727,1.0,0,1,
14,305,2118,5,16,1081,4,73,0.68265078183172,3739,1662,0.44450387804225727,0.5714285714285714,11,1,
13,47,2118,3,8,1081,4,73,0.8197802197802198,414,283,0.6835748792270532,0.15384615384615385,10,1,
52,6,2118,1,0,1081,12,73,0.7227272727272728,250,129,0.516,1.0,40,1,
3,40,2118,1,8,1081,1,73,0.5967741935483871,490,258,0.5265306122448979,0.6666666666666666,0,1,
