F41,F40,F43,F42,F45,F44,F140,F47,F141,F46,F142,F49,F143,F48,F126,F127,F128,F129,F50,F52,F51,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F138,F139,
12,0.0,0,5,7,17,8396,1197,237258,0.028784081415660363,67984,41,0.07771971512251072,169,225,39,34,298,1407,0.012863279296774305,1028,0,186,0,0.05151627909343195,0,4047,0,2726,189,0,6962,1321,0.09911530036098257,148423,80439,
12,0.0,0,5,7,17,8396,1197,237258,0.028784081415660363,67984,41,0.07771971512251072,169,58,57,2,117,1407,0.012863279296774305,1028,0,1,0,0.018772946452873314,0,4047,0,2726,189,0,6962,1321,0.09911530036098257,148423,80439,
12,0.0,0,5,7,17,8396,1197,237258,0.028784081415660363,67984,41,0.07771971512251072,169,219,129,4,352,1407,0.012863279296774305,1028,0,90,0,0.11350312179688107,0,4047,0,2726,189,0,6962,1321,0.09911530036098257,148423,80439,
12,0.0,0,5,7,17,8396,1197,237258,0.028784081415660363,67984,41,0.07771971512251072,169,207,22,1,230,1407,0.012863279296774305,1028,0,185,0,0.07664373423974088,0,4047,0,2726,189,0,6962,1321,0.09911530036098257,148423,80439,
12,0.0,0,5,7,17,8396,1197,237258,0.028784081415660363,67984,41,0.07771971512251072,169,180,26,5,211,1407,0.012863279296774305,1028,0,154,0,0.04463868349265291,0,4047,0,2726,189,0,6962,1321,0.09911530036098257,148423,80439,
12,0.0,0,5,7,17,8396,1197,237258,0.028784081415660363,67984,41,0.07771971512251072,169,17,17,0,34,1407,0.012863279296774305,1028,0,0,0,0.3167701863354037,0,4047,0,2726,189,0,6962,1321,0.09911530036098257,148423,80439,
12,0.0,0,5,7,17,8396,1197,237258,0.028784081415660363,67984,41,0.07771971512251072,169,643,632,30,1305,1407,0.012863279296774305,1028,0,11,0,0.1403918813053674,0,4047,0,2726,189,0,6962,1321,0.09911530036098257,148423,80439,
12,0.0,0,5,7,17,8396,1197,237258,0.028784081415660363,67984,41,0.07771971512251072,169,235,124,7,366,1407,0.012863279296774305,1028,0,111,0,0.1477435894778392,0,4047,0,2726,189,0,6962,1321,0.09911530036098257,148423,80439,
12,0.0,0,5,7,17,8396,1197,237258,0.028784081415660363,67984,41,0.07771971512251072,169,70,152,5,227,1407,0.012863279296774305,1028,0,-82,0,0.04716494906478988,0,4047,0,2726,189,0,6962,1321,0.09911530036098257,148423,80439,
30,0.0,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,239,9,0,248,1407,0.012863279296774305,1028,0,230,0,0.10337810969391878,0,2547,0,1977,73,0,4597,570,0.06973599956873502,148423,80439,
30,0.0,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,84,22,0,106,1407,0.012863279296774305,1028,0,62,0,0.07321153714681149,0,2547,0,1977,73,0,4597,570,0.06973599956873502,148423,80439,
30,0.0,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,84,22,0,106,1407,0.012863279296774305,1028,0,62,0,0.07321153714681149,0,2547,0,1977,73,0,4597,570,0.06973599956873502,148423,80439,
30,0.0,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,89,139,3,231,1407,0.012863279296774305,1028,0,-50,0,0.020195527229583662,0,2547,0,1977,73,0,4597,570,0.06973599956873502,148423,80439,
30,0.0,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,89,139,3,231,1407,0.012863279296774305,1028,0,-50,0,0.020195527229583662,0,2547,0,1977,73,0,4597,570,0.06973599956873502,148423,80439,
30,0.0,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,46,313,20,379,1407,0.012863279296774305,1028,0,-267,0,0.07448418999529077,0,2547,0,1977,73,0,4597,570,0.06973599956873502,148423,80439,
30,0.0,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,46,313,20,379,1407,0.012863279296774305,1028,0,-267,0,0.07448418999529077,0,2547,0,1977,73,0,4597,570,0.06973599956873502,148423,80439,
30,0.0,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,91,135,5,231,1407,0.012863279296774305,1028,0,-44,0,0.013641693301299695,0,2547,0,1977,73,0,4597,570,0.06973599956873502,148423,80439,
30,0.0,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,91,135,5,231,1407,0.012863279296774305,1028,0,-44,0,0.013641693301299695,0,2547,0,1977,73,0,4597,570,0.06973599956873502,148423,80439,
30,0.0,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,80,8,0,88,1407,0.012863279296774305,1028,0,72,0,0.016272353666580714,0,2547,0,1977,73,0,4597,570,0.06973599956873502,148423,80439,
30,0.0,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,80,8,0,88,1407,0.012863279296774305,1028,0,72,0,0.016272353666580714,0,2547,0,1977,73,0,4597,570,0.06973599956873502,148423,80439,
30,0.0,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,165,190,8,363,1407,0.012863279296774305,1028,0,-25,0,0.040869130679946956,0,2547,0,1977,73,0,4597,570,0.06973599956873502,148423,80439,
30,0.0,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,217,209,4,430,1407,0.012863279296774305,1028,0,8,0,0.10057073366283667,0,2547,0,1977,73,0,4597,570,0.06973599956873502,148423,80439,
30,0.0,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,217,209,4,430,1407,0.012863279296774305,1028,0,8,0,0.10057073366283667,0,2547,0,1977,73,0,4597,570,0.06973599956873502,148423,80439,
30,0.0,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,107,120,3,230,1407,0.012863279296774305,1028,0,-13,0,0.08375404580477977,0,2547,0,1977,73,0,4597,570,0.06973599956873502,148423,80439,
30,0.0,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,107,120,3,230,1407,0.012863279296774305,1028,0,-13,0,0.08375404580477977,0,2547,0,1977,73,0,4597,570,0.06973599956873502,148423,80439,
30,0.3780487804878049,0,1,29,31,8396,1197,237258,0.017184035476718405,67984,41,0.07771971512251072,169,210,24,3,237,1407,0.012863279296774305,1028,1,186,30,0.04044050037795523,31,2547,0,1977,73,29,4597,570,0.06973599956873502,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,188,106,10,304,1407,0.012863279296774305,1028,0,82,0,0.15190473914956784,0,2000,0,1138,329,0,3467,862,0.11178114268544616,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,51,8,0,59,1407,0.012863279296774305,1028,0,43,0,0.06822920814693194,0,2000,0,1138,329,0,3467,862,0.11178114268544616,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,156,103,10,269,1407,0.012863279296774305,1028,0,53,0,0.09555136915444262,0,2000,0,1138,329,0,3467,862,0.11178114268544616,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,855,426,293,1574,1407,0.012863279296774305,1028,0,429,0,0.11584224317398573,0,2000,0,1138,329,0,3467,862,0.11178114268544616,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,855,426,293,1574,1407,0.012863279296774305,1028,0,429,0,0.11584224317398573,0,2000,0,1138,329,0,3467,862,0.11178114268544616,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,855,426,293,1574,1407,0.012863279296774305,1028,0,429,0,0.11584224317398573,0,2000,0,1138,329,0,3467,862,0.11178114268544616,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,855,426,293,1574,1407,0.012863279296774305,1028,0,429,0,0.11584224317398573,0,2000,0,1138,329,0,3467,862,0.11178114268544616,148423,80439,
